rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
563003,310828,mobile,ended,-444.0,,,Early,False
563108,339515,mobile,ended,33.0,,,Late: 30-60 mins,False
563157,371572,connect,ended,-83.0,,,Early,False
563509,349894,connect,ended,-432.0,,,Early,False
563519,225602,mobile,ended,-16.0,,,Early,False
563552,241021,connect,ended,25.0,567278.0,60.0,Late: 15-30 mins,True
563933,347208,connect,ended,27.0,,,Late: 15-30 mins,False
563998,409663,mobile,ended,-47.0,,,Early,False
564045,381123,mobile,ended,99.0,554558.0,660.0,Late: 1-2 hours,True
564094,179429,mobile,ended,4.0,,,Late: 0-15 mins,False
564208,361262,mobile,ended,90.0,,,Late: 1-2 hours,False
564414,195888,mobile,ended,20.0,564484.0,180.0,Late: 15-30 mins,True
564466,407869,mobile,ended,10.0,,,Late: 0-15 mins,False
564500,382884,mobile,ended,69.0,555024.0,420.0,Late: 1-2 hours,True
564538,332366,mobile,ended,335.0,,,Late: > 2 hours,False
564642,340833,mobile,ended,-20.0,,,Early,False
564706,384747,mobile,ended,403.0,,,Late: > 2 hours,False
564785,399718,mobile,ended,1.0,,,Late: 0-15 mins,False
564844,297962,connect,ended,-167.0,,,Early,False
564955,389994,mobile,ended,136.0,,,Late: > 2 hours,False
564992,366410,mobile,ended,62.0,,,Late: 1-2 hours,False
565108,354331,mobile,ended,-55.0,,,Early,False
565143,381435,mobile,ended,-100.0,,,Early,False
565205,406475,mobile,ended,-80.0,,,Early,False
565340,415170,mobile,ended,41.0,,,Late: 30-60 mins,False
565494,368210,mobile,ended,45.0,,,Late: 30-60 mins,False
565512,376391,mobile,ended,436.0,,,Late: > 2 hours,False
565540,281518,mobile,ended,-43.0,,,Early,False
505091,213807,connect,ended,-155.0,,,Early,False
505567,308565,mobile,ended,-3.0,,,Early,False
505859,268874,mobile,ended,42.0,,,Late: 30-60 mins,False
506321,393781,connect,ended,-1.0,,,Early,False
506970,226932,mobile,ended,-10.0,,,Early,False
507103,393584,mobile,ended,15.0,,,Late: 15-30 mins,False
507112,221297,mobile,ended,7.0,,,Late: 0-15 mins,False
509566,372647,mobile,ended,181.0,,,Late: > 2 hours,False
509688,339975,mobile,ended,14.0,,,Late: 0-15 mins,False
511872,386539,mobile,ended,7.0,,,Late: 0-15 mins,False
512237,382279,mobile,ended,-10.0,,,Early,False
514673,402194,mobile,ended,-52.0,,,Early,False
516244,349131,mobile,ended,-34.0,,,Early,False
516585,389785,connect,ended,162.0,,,Late: > 2 hours,False
519260,359719,mobile,ended,946.0,,,Late: > 2 hours,False
519450,358846,mobile,ended,-12.0,,,Early,False
519451,251815,connect,ended,-76.0,,,Early,False
520147,392147,mobile,ended,1.0,536236.0,390.0,Late: 0-15 mins,True
520580,168079,mobile,ended,-20.0,,,Early,False
520711,402078,mobile,ended,-17.0,,,Early,False
520750,337219,connect,ended,-154.0,,,Early,False
521526,282208,mobile,ended,-53.0,,,Early,False
522476,376514,mobile,ended,300.0,,,Late: > 2 hours,False
523920,363431,mobile,ended,-25.0,,,Early,False
524487,380866,mobile,ended,-15.0,545830.0,120.0,Early,True
525175,280805,connect,ended,9.0,,,Late: 0-15 mins,False
525776,285846,mobile,ended,22.0,,,Late: 15-30 mins,False
527465,381512,mobile,ended,28.0,,,Late: 15-30 mins,False
527709,393442,mobile,ended,106.0,,,Late: 1-2 hours,False
528782,370513,mobile,ended,3.0,,,Late: 0-15 mins,False
529239,354515,mobile,ended,10.0,565896.0,360.0,Late: 0-15 mins,True
529492,207715,mobile,ended,-169.0,,,Early,False
529693,281955,mobile,ended,-67.0,,,Early,False
530325,356434,mobile,ended,-101.0,,,Early,False
530357,262206,mobile,ended,14.0,,,Late: 0-15 mins,False
531233,276202,mobile,ended,-19.0,,,Early,False
531451,378003,mobile,ended,0.0,,,Late: 0-15 mins,False
532171,368448,mobile,ended,9.0,,,Late: 0-15 mins,False
532248,332611,mobile,ended,1110.0,,,Late: > 2 hours,False
532393,406388,mobile,ended,-54.0,,,Early,False
532695,320824,connect,ended,0.0,,,Late: 0-15 mins,False
533129,405683,mobile,ended,-138.0,,,Early,False
533326,301632,mobile,ended,38.0,,,Late: 30-60 mins,False
533720,385295,mobile,ended,6.0,,,Late: 0-15 mins,False
565543,364882,connect,ended,82.0,,,Late: 1-2 hours,False
565548,373925,mobile,ended,-10.0,,,Early,False
